SA,看起来很让人心情愉快
SD,上面有开心的祝福，开心最重要
SB,很快乐，且饱满，笔画匀称
EC,图案绘制看起来很精致
SD,笑脸很好
FA,很明显，很有趣，看到这一面墙的第一反应
WC,笔画好看，饱满规整
FD,呆，很像一个人
WC,圆润
LD,富有哲理的临摹
WC,有设计感
WA,整体结构比较好看，笔画工整
WD,工整美观
ZD,字迹工整
SB,流畅
LD,有意思
SB,可爱的笑脸，看了心情好
HD,顺眼
FD,很可爱 很工整
HB,方正
HB,简洁
EC,显眼
HB,很规整
WA,显眼
SB,笑脸看了心情好
SD,像很可爱的笑脸
SB,简单
FC,很生动
SB,可爱
WC,流畅
FC,心血来潮
SA,很可爱
FC,生动
FD,标致
ZC,简约大方
FD,像个呆的人
EA,写的跟我写的很像
EA,对字的解释比较有意思
WA,较为工整
WD,笔锋斗转，骨感有序，整个字看上去很精神
LC,挺好看的
LC,字很活泼
EB,字很好看
WC,比较规整
ZA,写的很秀气，这个字我也写过
WA,独特
SC,有趣
SD,样子挺可爱
SD,字很好看
ZD,简洁
EA,简单
WA,符号有趣
ZA,简单
WB,简单
LC,图案有趣
WD,不仅有临摹的图案，还有自己的理解
WC,图案有趣
WA,很有意思的图案
HD,有趣
YD,板板正正
WC,好看
SD,让人开心
EA,酷似甲骨文
SD,笑脸很可爱
SC,可爱
WB,简约
SC,像笑脸，让人开心
SA,简单
SA,像笑脸开心
WB,第一眼看到了
SD,看到了很开心
YA,解释很独特
SC,笑脸开心
FD,画的很有味道
FD,很有趣
WD,美观简洁
SC,还行
FD,火柴人
YD,很规整
SC,笑的很开心
SC,看起来很开心
ZC,好看，方正
SC,好看
ED,好看
ED,舒适
WB,突出
WA,很方正
LD,很奇特
EA,很喜欢
FD,呆呆的
SA,很可爱
HC,不错
ZB,工整
SB,是笑脸
YB,整齐
HA,好看
HA,工整
ZC,帅
EC,够抽象
FA,像个小人
YD,随机
HD,干净
ZA,简洁
HD,不对称但平衡
HC,可爱，大方，整洁
ZC,干净整洁
ZA,大气
FB,像一个人
ZC,大气整洁
HA,很简练
ZC,笔画简洁干练
FB,好看
LB,整体效果整洁清爽
YD,写的很好
FA,杂乱
YA,有一种简约的美
HA,简约
HA,写得好
FB,呆呆的
HA,不错
YC,规整
ZB,规整
HA,字很多，有想法
HA,很工整
HC,很粗犷
YA,线条比较清晰
HC,活泼饱满
YA,线条细且清晰
HC,线条利落
YB,工整
HD,比较工整
YB,比较清晰
ZD,写的板正
HD,线条清晰，画的很可爱
HD,清晰整齐
HD,不用再照照片了
YA,线条简单
HC,线条简单
YB,线条简单
YB,比较圆润
ZD,方正
WB,很美观
FC,有意境
WC,圆润，匀称
HB,形态可爱
SC,简单好
SA,可爱
SD,比较特别，看起来有趣
HB,看不懂，但大为震撼
SB,：）
FA,如同披着蓑衣的武侠小人
SB,规整好看
SD,好看
WC,整洁美观
FB,比较好看
HD,少数的用了面
FD,像人
FC,呆呆的小人感觉有点孤独
FC,顺眼
SB,像燃烧的火焰 很有意思
ZD,整齐
ZD,整洁
FC,飘逸
EC,笔触很吸引人
HD,工整
SD,笑脸可爱
FC,像是在跳舞
WC,有个性
SB,有趣
HB,方正有趣
EB,形象生动
FC,心血来潮
LC,画的像个气球，可爱
FB,和第一个一样
YD,方正
FD,有意思
YD,和我写的好像，以为是我的
FC,很奇怪
ZA,字跟我写的一样
LD,圆润可爱
ZC,圆润通透，干净利索
EB,很有意思
ZC,画了笑脸，很调皮
SD,笑脸很可爱
HB,很工整
WC,很遒劲，有书法的感觉
FD,生动
,
WC,自己也画过，喜欢
ZD,写的很规整
WD,不懂
ED,有趣
WD,符号简洁
WC,好看
HB,随机
EA,图案有趣
WD,简洁
SC,有趣掌印
SD,可爱笑脸
EA,很可爱
EA,抽象
ED,有趣
WB,非常的规矩
WB,规整
WB,很有古文的味道
ZB,正方
SD,很有趣很可爱
HC,凌乱美
SA,有趣像笑脸
SC,有趣像笑脸
LD,画的好
FD,很有意思的
SC,尖嘴笑脸
ZC,简约
ZC,有字
SA,像一个笑脸 看见心情会变好
WA,清秀
ED,有特色
ZB,规整
SD,能看出是一个笑脸
SA,笑的很嚣张
,
WB,好看
ZB,好看
WC,简约
LA,工整
WC,弱弱的
SC,线条好看
SC,像个笑脸
LB,很复杂很喜欢
SA,像emoji
ZA,很方正
FB,不错
SA,可爱
ZB,工整
YD,十分方正
LC,舒畅
FD,很抽象
HB,蒂
ZA,很简约
FB,灵动小人
YC,随机
FA,抽象小人
HD,画的很生动可爱
YA,勾边留白的形式比较特别
HD,可爱，整洁的小笑脸
ZB,干净整洁
ZA,整洁
ZA,比较简洁
LB,有趣
FB,很有童真
LA,像一副图画
ZA,鸡蛋
YC,简洁，位置很好，简单但很用心
ZA,简洁
LB,好看
HA,很酷
ZB,简约，清爽
YC,有文字解释，布局美观
LB,像是两个小孩打架
YC,字好看
ZB,方正
HA,奇特
YC,毛毛的
HC,很圆润
HA,写了注解
ZD,加上注解有一种故事感
YA,古朴典雅
HA,笔画较散
HD,整体和谐
HD,工整大气
YB,特别
HD,好
SB,像个笑脸，治愈
YC,比较合眼缘
YB,这个日写的像一幅画一样
YB,规整
YB,线条简单
HD,线条简单
YB,整洁
ZD,规整
ZD,线条简单
,
,
,
,
